,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16,Module 17,Weights 17,Module 18,Weights 18,Module 19,Weights 19
0,BZW1A,1.2866532433195803,LYRM1,2.3847753160377563,EVPLA,1.2878928310231939,TA,2.3985516160654528,NANOS3,1.5863512397637893,SI:CH211-242H13.4,1.4191555900490882,SI:DKEYP-3B12.7,0.9884030665184712,ADMP,1.288389512646675,SI:DKEYP-3B12.10,1.0901151392411084,SPAW,0.9240061356588032,SI:DKEY-261M9.17,1.4481001302199612,PHLDA3,1.4152224879228992,HSP90AA1.2,1.7965467652169709,FTH1B,0.6917715875466164,EGLN3,1.3147638834680306,FGF17,0.8947383313913487,SI:CH211-69B7.6,0.7958767680000657,SI:CH211-276A17.5,0.7454525420884709,BX546500.1,1.2539192255595137,SZL,1.4597868915925916
1,GDF3,1.246561719541776,MYO3A,2.14589683575366,CYT1,1.258011202663563,EVE1,2.135294281192167,DND1,1.4249124474109287,RNASEP_NUC,0.9521698075064112,SI:DKEYP-3B12.6,0.876136142137783,PRDM14,1.2628850560586289,FP236812.1,1.0286458597335104,SI:DKEY-1D7.3,0.6571292698968147,HIST2H3C,1.183991827225671,MDM2,1.1930324338408216,HSP70.3,1.2159803621908665,SI:CH211-235I11.3,0.6664988432973865,DDIT4,1.1910401158759896,CEBPB,0.8514157397812264,CAMSAP3,0.778371441038767,RYR1A,0.7329357176360818,CAMSAP2A,1.1377326415123992,APOC1,1.4165289621998634
2,P4HB,1.1736711650536322,AGRP2,2.122536038585181,EPS8L1,1.2427285405560484,WNT11,2.0179867956702315,TDRD7A,1.3876674056028184,SI:DKEY-48G21.5,0.9450375711228695,KIAA0101,0.837836733676887,ZIC3,1.2020418026139057,ENSDART00000172356,1.0231009537692937,BX005448.2,0.6563390778494912,SI:CH211-113A14.10,1.1495803386342565,SI:CH211-260E23.9,1.104643752059656,HSP70.1,0.8601109182410129,TELO2,0.6650257015464328,BX901974.1,0.773707235763729,NEURL1AB,0.8356484729997403,AIM1B,0.7650509708623005,LYRM1,0.705833647076135,SI:DKEY-28A3.2,1.1001432930877804,GATA2A,1.4092781973014752
3,RHEBL1,1.1512473416170155,RAPGEF6,2.094070953787657,KRT92,1.225801399649764,CDX4,1.8837401720569507,ACTL7A,1.2584971929841973,SI:DKEY-234I14.20,0.9007330524102539,PRKRIP1,0.7756266314932961,SI:CH211-139K8.4,1.1811462555990546,SI:CH1073-159D7.7,1.0181992673404638,SI:DKEY-238D18.15,0.6394251516613906,ENSDART00000129497,1.0329280654613942,APLNRB,1.060858032843806,CABZ01080568.1,0.8259832975266918,KIF18A,0.6362786465349204,BX324155.1,0.770413678562932,CLDNB,0.7881892444475912,MCHR2,0.7246366489382753,CHD,0.6868157916019966,SYNGAP1A,0.9993542696271345,BMP4,1.3773387447599998
4,FAM78BB,1.1435743355219072,SI:CH73-195I19.3,2.0774573530308955,CYT1L,1.2162840322469697,ZNF703,1.8517213995915687,CA15B,1.1253134761074137,PGAM1A,0.8497468923303865,HSP90AB1,0.7731090470586633,SOX2,1.169544407401825,ZGC:113984,0.9976903898144156,SLC7A8A,0.6240922987271766,SI:DKEY-23A13.15,1.0239048347631456,FOXO3B,1.0360150461639634,HSP70.2,0.7986353797792194,SRRD,0.6361571564582872,GBGT1L4,0.7629574294338526,GADD45BB,0.7728812356462912,EVPLA,0.7044936224692945,TTNA,0.6792415363159112,HS3ST3B1B,0.9713311789733734,FOXI1,1.3313750278050203
5,SKP2,1.0908650169229872,ANO9A,2.0731009630604436,KRT97,1.2077598640545937,AXIN2,1.5983877418976402,DDX4,1.1098999600633357,CPN1,0.8083771185478563,CLIP4,0.7620008569189634,SI:DKEY-188C14.4,1.1574571742929396,ZGC:158463,0.9624302066111946,AFP4,0.6157631488861429,ZGC:153405,0.9622936481130068,CTSH,1.0096707717635907,HSPA4A,0.6889255315958341,FBXO30A,0.6322323820072585,BX005448.2,0.6857529211947386,STARD14,0.7589951520588312,DSPA,0.7035127608868095,CPE,0.6396360563984006,PLECA,0.961437879564122,VED,1.1955500028983492
6,NCALDA,1.0763738484963061,CABZ01084942.1,2.0570177459827694,FTR83,1.198300476396843,SP5A,1.5898930148068013,GRA,0.9423404661231521,SI:CH1073-190K2.1,0.7948848023770032,SI:DKEY-23A13.4,0.7143478772763965,PRICKLE1A,1.0339606046378085,FP236812.2,0.9540975656364583,ACO2,0.6011033576041156,SI:CH211-113A14.24,0.9462507463807514,RBL2,0.9842220993131918,SERPINH1B,0.6135989842250441,SLC9A8,0.6168078540643944,SI:CH1073-190K2.1,0.6791176491456791,SI:DKEY-157L19.2,0.7569707396020823,NRXN1B,0.677100215740943,RAPGEF6,0.6253957695370802,SLC7A8A,0.9447888969263171,TFAP2C,1.1215090293165206
7,SI:DKEY-6D5.4,1.0594911486056142,FNIP1,1.86610910619629,KRT5,1.1883523956063908,TPBGA,1.5339197805463674,RGS14A,0.9132260083360175,EIF5,0.735578110366992,RPL27,0.7126204047253554,FOXD3,0.9957498162327763,SI:CH211-113A14.25,0.9419913458042493,NR0B2A,0.5926964798235359,ZGC:165555,0.9052679801441422,SESN3,0.943378745047896,ADGRE10,0.5772312843940556,SI:CH211-117I10.10,0.6120953312087184,ZNF1063,0.6623740179900895,KRT18,0.7462524299792267,MYLK4B,0.6724228377443839,AGRP2,0.6234015792760497,HSD17B2,0.91898804479535,CRABP2B,1.025248450670673
8,MKRN4,1.0545148203258907,ZGC:173587,1.8148391545386076,ZGC:193505,1.1724794979023065,MSX1B,1.490684998883081,BTG4,0.8092185206168443,CR388042.3,0.7332507634077633,SLC35A4,0.7080311448670482,EFNB2A,0.9862908919355755,SI:DKEY-108K21.27,0.9214362113151272,NFYC,0.5913486112745988,SI:DKEY-108K21.14,0.8641400946120891,BCL2L14,0.9371799453634103,MYCN,0.5767665760406157,RAB3IL1,0.6067272297546672,ZNF1125,0.6508351130004222,CHD,0.7428971834989643,PLECA,0.6664359024545118,NRXN1B,0.6120301971646842,RNF213,0.8984526393982085,SI:CH211-139K8.4,1.0175037091105321
9,RBM4.3,1.0261335976066766,ZGC:171775,1.7208105143858463,KRT4,1.1661126575090621,MIXL1,1.4222397578632606,ICE1,0.7907249668434793,SI:DKEYP-55H4.2,0.7299676041807751,RPL35,0.7077737846356071,SLC38A5B,0.9810387064197307,SI:CH211-113A14.16,0.9010323594645832,SLC3A2B,0.5863305726808643,SI:CH211-113A14.15,0.849274620666934,TP53INP1,0.8835846735511281,ZGC:77112,0.5717969390399646,TSG101A,0.6060471288924558,BX324179.3,0.6401605834191196,CLDNE,0.7378559165586261,JAG1B,0.6455432976965353,UPK1A,0.5992269890540671,FTR36,0.8869229873921437,BAMBIA,1.0137046147662492
