,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4
0,OTUD4,1.2495318608464707,LYRM1,2.5473792097553836,KRT4,1.515426057743009,TA,2.3175244652857234,SI:RP71-45K5.2,1.1721852125367633
1,SI:CH1073-159D7.7,1.2248083926706632,AGRP2,2.206165365852227,KRT92,1.4384705255904187,EVE1,2.0754863825051677,TDRD7A,1.1184246132768485
2,SI:CH211-113A14.16,1.2187950234691753,RAPGEF6,2.161983388074977,KRT18,1.436228767684924,WNT11,1.9433458920186413,BTG4,1.1094345733227278
3,SI:DKEY-23A13.4,1.1688714045107684,ANO9A,2.1381018932249787,LYE,1.4340174382834912,CDX4,1.8070100438777579,DDIT4,1.0499737029281546
4,PPIB,1.1639296095357914,CABZ01084942.1,2.1227534425878205,KRT5,1.4326038863387096,ZNF703,1.7288898450336214,RPAIN,1.032016992288448
5,ZGC:158463,1.1631838732749478,MYO3A,2.1003361276564627,KRT97,1.4143097737869967,AXIN2,1.4972375085594793,SI:DKEY-11O15.10,1.022011919020704
6,SI:DKEY-234I14.20,1.1603024811618963,SI:CH73-195I19.3,2.049718764797822,MID1IP1A,1.4019231459117025,TPBGA,1.4894213523969144,CLDNG,1.004049976830191
7,SI:CH73-1A9.3,1.1363305188653579,ZGC:171775,1.9252803304758164,CLDNE,1.3969707679377672,SP5A,1.4845697278130592,ZGC:56231,0.9887529566211182
8,SI:CH211-242H13.4,1.1291903385618225,TOP1,1.853827084390856,KRT8,1.3635758085422105,MSX1B,1.4562866601746518,HSP90AA1.2,0.9813916780061743
9,SI:DKEY-153M14.1,1.120521566180344,ZGC:173587,1.8215135900207258,ZGC:101000,1.3520765154315149,MIXL1,1.313802274089181,SI:DKEY-163F14.5,0.9706929256880451
10,DUT,1.1114288671601256,DIABLOA,1.8089926453146068,SI:CH211-125O16.4,1.3385112086408015,GBX1,1.2808598187084805,SLC25A25A,0.9516469234200293
11,SI:DKEY-23A13.15,1.1095279930824495,FNIP1,1.7758548815020676,CEBPB,1.329482995801035,ZNF503,1.2187716867762115,SI:DKEY-1D7.3,0.940590993340671
12,SI:DKEY-16M19.4,1.1093587473060538,HNRNPA0B,1.7716733584681568,ZNF185,1.3157006556218227,IM:7138239,1.1729778095056844,ZGC:77112,0.9327162441620687
13,RPL12,1.1076134982524377,NME2A,1.6469565272071485,EPS8L1,1.3109841809574927,DLD,1.16435772204308,LSM14B,0.919137584793417
14,SI:CH211-222L21.1,1.097936347099703,GPRC5BB,1.582145486961256,CLDN23,1.2874709421489636,ATP1B3A,1.1137545276985208,MID1IP1L,0.8966110399629967
15,SI:DKEY-122C11.4,1.0975666329816918,HUWE1,1.5403697748601253,FTR83,1.2752164397589165,ZIC2A,1.0783852038117123,NANOS3,0.8850388924080027
16,SI:DKEY-95P16.2,1.0890107045899482,NRXN1B,1.523887936888668,ZGC:193505,1.2705382706349013,NHSL1B,1.0675038904524423,LPCAT4,0.8777267721806126
17,SI:CH211-147G21.5,1.088475143085205,KLHL22,1.5047636037867442,MGLL,1.230799527245636,APOC1,1.050407458323067,FHDC3,0.8720232422774173
18,SI:DKEY-53F14.4,1.0880485319839175,CPE,1.461755745618889,KLF17,1.230401751650405,VED,1.047895600559162,PGK1,0.871891705443867
19,SI:CH211-272F15.5,1.0861777392472933,PON1,1.4293584392940442,EVPLA,1.2265166296693462,PRICKLE1B,1.0197090222684473,NEK2,0.8684303588194996
20,KIAA0101,1.07941530960899,CYR61L2,1.3546983263905594,FA2H,1.220511594610754,HES6,1.017035060855454,BCL2L10,0.8626897825331964
21,SI:DKEY-206L1.3,1.0751063817835986,SETD2,1.2769449073059722,FTR82,1.211827229016146,HER1,1.0015709603580376,CTH1,0.8616342377306656
22,SI:CH211-195B11.4,1.0722664244987639,CABZ01001464.1,1.2592893728773022,CLDNB,1.2104563067156475,MSX3,0.9878551835374276,SLBP2,0.8516609949133181
23,ELAVL1,1.069762655498405,PCNT,1.2548838980005137,SI:DKEYP-67A8.4,1.2069047113417057,SZL,0.9820041512933484,CA15B,0.8494589888093985
24,FTL,1.0678150111949758,POLR2A,1.2494509418597073,FUT9B,1.1729337402761568,ARL4AB,0.9523619901079209,RAD18,0.8440972488926307
25,TSR2,1.0669184710985247,MLXIP,1.2315688191679077,CYT1L,1.172251994492975,SP5L,0.9453983354203201,ACTL7A,0.844076831614886
26,SI:DKEY-261M9.17,1.0651398145146715,SI:DKEYP-79B7.4,1.2253432286085402,GRHL3,1.169689904603201,LEF1,0.9446371011226034,SI:DKEYP-114G9.1,0.8389041765154682
27,SI:CH211-7C8.2,1.064103078142696,CHD7,1.22393188412455,ZGC:153911,1.1647994919493347,WNT8A,0.9130627811513524,CIARTA,0.8385180523008424
28,RPL6,1.0639956233785788,ZNF1057,1.215799000241132,PERP,1.1621187414525092,SI:DKEY-27I16.2,0.8999270932913667,PATL2,0.8263124542141826
29,SI:CH211-194E1.8,1.0634296928020832,SI:CH211-241E1.5,1.2037043609596842,CYT1,1.1489963432022638,SI:DKEY-149I7.2,0.897907749015206,BMI1B,0.811358717455149
