,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7
0,GDF3,1.055215407589021,LYRM1,2.5643370794543934,KRT4,1.4617897941185243,TA,2.325616000774266,TDRD7A,1.2632375274758902,SI:DKEY-28A3.2,1.1954709407680701,OTUD4,1.2317624591022744,SOX2,1.1035650554423024
1,SI:DKEY-15H14.4,1.03935574164391,AGRP2,2.213729065089869,KRT18,1.4363704529730559,EVE1,2.0540496761923546,NANOS3,1.2339208507419772,JAG1B,1.099363589141099,SI:CH211-242H13.4,1.1405755664703425,PRDM14,1.0366641736253053
2,RHEBL1,1.0117382857064103,RAPGEF6,2.165639191764842,KRT92,1.4307014826376472,WNT11,1.9260798318243306,ACTL7A,1.1182552616744692,HS3ST3B1B,1.0942556537821606,PRKRIP1,1.1247802072128095,ZIC3,0.9374771644317542
3,SI:CH211-190K17.31,1.001219100036016,CABZ01084942.1,2.14028486192184,LYE,1.3986006199679146,CDX4,1.8078375338411778,BTG4,1.0926538346537182,FTR36,1.0856209468020226,SI:DKEY-153M14.1,1.0588587691544908,PCDH18B,0.8560336452555517
4,MKRN4,0.9912495171426371,MYO3A,2.116257745813651,KRT5,1.3852800801512992,ZNF703,1.7326120251156234,CA15B,1.083087133904398,KCNK4,1.050062818203974,SI:DKEY-108K21.12,1.0412279554462769,MCM6,0.8225098036211663
5,BZW1A,0.9836751051461351,SI:CH73-195I19.3,2.083093005399933,MID1IP1A,1.3805807710142826,TPBGA,1.5232891179688013,DND1,0.9880063601479332,CNNM1,1.0154354236530316,HSP90AB1,1.0409760330987863,SLC38A5B,0.8214728608151449
6,NCALDA,0.9604972472236178,ANO9A,2.04995189942888,ZGC:101000,1.3737817720535554,SP5A,1.50628954745276,MID1IP1L,0.9562354563505311,SI:DKEY-186O21.1,1.0093750910824164,SI:CH211-117M22.2,1.0375274738020916,ADMP,0.8136770016701309
7,P4HB,0.9562183264366958,ZGC:171775,1.9034956230305562,CLDNE,1.3713498009783944,AXIN2,1.4946056625772088,CLDNG,0.9344404353709721,TNFAIP8L2A,1.0032195884818051,PPIB,1.035951126925122,SP5L,0.7700692921753248
8,ZNF1060,0.9485320597116482,TOP1,1.8430304631666161,KRT97,1.369226382396436,MSX1B,1.4617650178745294,SLC25A25A,0.9127164261552412,GRB7,0.9973138304971422,SI:DKEY-23A13.4,1.0343116401315402,FP236812.1,0.7618501444742612
9,BX640584.2,0.9390652623232657,DIABLOA,1.8176767256531072,SI:CH211-125O16.4,1.3632915067856408,MIXL1,1.3370160078553224,BMI1B,0.9082391239611325,NRXN1B,0.9971608702172109,SI:DKEY-23A13.15,0.9960556558480971,SEPT12,0.7569494886949013
10,ZNF1040,0.9220456566708651,FNIP1,1.7856379900438986,CEBPB,1.3440464487362813,GBX1,1.2842310852194911,HSP90AA1.2,0.9055584736515965,CPE,0.9696515147213945,GTF2H5,0.993106463650278,SLC38A3B,0.7547566606659117
11,CR450785.2,0.913728076214807,HNRNPA0B,1.779755514989133,KRT8,1.338226015335422,ZNF503,1.2332356394639938,SI:DKEY-11O15.10,0.9034179844543025,SYNGAP1A,0.9606952812618798,ZGC:158463,0.9907202436025109,CABZ01070258.1,0.7425309055748783
12,BX005448.2,0.9128431138957098,ZGC:173587,1.7752671048051785,EPS8L1,1.322513924576464,IM:7138239,1.1695268022630323,ZGC:158852,0.9016478674032645,RHD,0.9580917684650809,EIF5,0.9820010091435133,LFNG,0.7355195948549414
13,CR391944.1,0.9046202348714183,NME2A,1.6356776797135055,ZNF185,1.299145545742023,DLD,1.129251775582561,DDX4,0.8982542052830289,SI:CH211-171H4.5,0.950896771427991,DUT,0.9664921523072122,RGS3B,0.7340994137571255
14,SI:DKEY-30F3.2,0.9006991491187837,GPRC5BB,1.6224632443979097,CLDN23,1.2800165121687346,ZIC2A,1.070487762849135,SKA2,0.8948334785578296,LAMC1,0.9240974777626584,FTL,0.963962217773173,ZIC2B,0.7248519521229165
15,FAM78BB,0.900240250815379,HUWE1,1.4778239412730074,ZGC:193505,1.269990396491919,NHSL1B,1.064327017588688,SI:RP71-45K5.2,0.8880711754277124,HSD17B2,0.9200829284868693,KIAA0101,0.961794832515498,PFKFB4B,0.7136045207913242
16,BIRC5B,0.8996818756664375,KLHL22,1.3676890700439857,FTR83,1.2516704994556134,ATP1B3A,1.0541331943733487,FHDC3,0.8722047842574108,SI:CH211-178N15.1,0.913616414239331,RPL12,0.9605635566777189,PKDCCB,0.7134956185074357
17,RAC1A,0.8973774585756388,NRXN1B,1.3557316571407978,KLF17,1.250597771223969,PRICKLE1B,1.0143847413498122,NEK2,0.831776351854989,SI:DKEY-58J15.10,0.911569162524925,STM,0.9589398801616926,PCDH1B,0.7127540875598731
18,BX324155.1,0.8922733865631344,PON1,1.3400778075912863,FA2H,1.240498631554091,HES6,1.0089699970149257,SI:DKEY-163F14.5,0.8235348840393901,PARP6A,0.8868953315552333,SI:DKEY-234I14.20,0.9554865606154518,OTX1A,0.7092610309179891
19,DDX17,0.884366715547073,CABZ01001464.1,1.3236266031096322,EVPLA,1.2313919313769,APOC1,1.0083450366898528,ANKRD12,0.8192266227721585,NCOA7,0.8866745106913136,SI:CH211-194E1.8,0.9535983900318393,CX43.4,0.7090138340979206
20,WEE2,0.878888996044888,CPE,1.3108066519627901,SI:DKEYP-67A8.4,1.2237825585485083,HER1,1.0002075232528382,ZGC:56231,0.8129494408824991,BX546500.1,0.8806066940995598,SI:CH211-113A14.16,0.9534680534437553,ZGC:163040,0.704117422113929
21,SI:DKEY-221L21.2,0.8716869966478437,CYR61L2,1.2698006993192688,FUT9B,1.214218409996202,SP5L,0.9810007773896615,LPCAT4,0.8066562404986712,RNF213,0.8777704322780101,SI:DKEY-261M9.17,0.9476644849651787,SI:CH1073-80I24.3,0.7031076202557919
22,ADGRE10,0.8711807188041478,SETD2,1.221826417484811,MGLL,1.2136541613202212,VED,0.9737303301476242,RPAIN,0.8035792821179912,RYR1A,0.8694207403962975,U1,0.9454109103078131,TCF7L1A,0.702972776654183
