,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8
0,GDF3,1.0705312508444926,LYRM1,2.5613257955687954,KRT4,1.4490972567056775,TA,2.3316811779835973,TDRD7A,1.2735547614456113,SI:DKEY-28A3.2,1.1961109163540296,OTUD4,1.2212831142620137,SOX2,1.0758707353007753,PHLDA3,1.3113121821375047
1,SI:DKEY-15H14.4,1.0686587428364394,AGRP2,2.2078826382730825,KRT18,1.423693496370543,EVE1,2.0565889120544103,NANOS3,1.265164496889518,HS3ST3B1B,1.0963259272564836,SI:CH211-242H13.4,1.126930021807737,PRDM14,1.063281464846475,MDM2,1.2207505214344863
2,RHEBL1,1.0456021548306096,RAPGEF6,2.1703303907121976,KRT92,1.4108095924480226,WNT11,1.9333718305633196,ACTL7A,1.135419812677869,FTR36,1.0859230646929274,PRKRIP1,1.118976378327368,ZIC3,0.9048165431576226,CTSH,1.0136199005610096
3,SI:CH211-190K17.31,1.0407281293849624,CABZ01084942.1,2.1507092239067727,LYE,1.395315324407331,CDX4,1.8109620368782293,CA15B,1.092128524407336,JAG1B,1.0841689522813451,SI:DKEY-153M14.1,1.0475423126971684,PCDH18B,0.8494121667578118,FOXO3B,0.9903989966486371
4,MKRN4,1.0227587878099094,MYO3A,2.119350087061997,CLDNE,1.3676086705891801,ZNF703,1.741702074765901,BTG4,1.0820925008212405,KCNK4,1.0606692414285939,HSP90AB1,1.033180404655378,ADMP,0.8286155085491059,SI:CH211-260E23.9,0.9761127406143908
5,NCALDA,1.021192854368284,SI:CH73-195I19.3,2.090184362317508,KRT5,1.3674128529218872,TPBGA,1.5290669193455648,DND1,1.009534827738565,SI:DKEY-186O21.1,1.017196087755849,SI:DKEY-108K21.12,1.0327435638550018,SLC38A5B,0.8126548040365362,RBL2,0.9675399906507747
6,BZW1A,1.0120580244666617,ANO9A,2.0401073913693137,MID1IP1A,1.362684350916742,SP5A,1.5101705766060434,MID1IP1L,0.9192276169538254,TNFAIP8L2A,1.0056117244417246,SI:CH211-117M22.2,1.0285543800644117,FP236812.1,0.7983481994049715,SESN3,0.954467059416808
7,P4HB,0.9989413233705963,ZGC:171775,1.9047337481595659,ZGC:101000,1.3526593591115563,AXIN2,1.5024611055200794,SI:DKEY-11O15.10,0.9188555058846395,NRXN1B,1.0040438350229746,PPIB,1.0280863462647114,MCM6,0.7945308049725601,APLNRB,0.9442684624008023
8,ZNF1060,0.9850322373071733,TOP1,1.8439286153901917,KRT97,1.3398834756572495,MSX1B,1.466460853417476,DDX4,0.9177929193084017,GRB7,0.9940005572699023,SI:DKEY-23A13.4,1.0264621611583442,SP5L,0.7776683310844978,CASP8,0.9202239211186007
9,BX005448.2,0.9844707837206736,DIABLOA,1.8116660856079365,SI:CH211-125O16.4,1.3372345980741656,MIXL1,1.3472997148478105,SKA2,0.9126978088126744,CNNM1,0.9819468988852976,GTF2H5,0.9856162529576256,LFNG,0.7433878910538747,BCL2L14,0.8660779933674684
10,BX640584.2,0.9709355725597033,FNIP1,1.7935044172392067,CEBPB,1.336625236057123,GBX1,1.2951506089649114,BMI1B,0.9107296002680701,CPE,0.9724185934658551,SI:DKEY-23A13.15,0.9830290807880303,SLC38A3B,0.7393094634057337,ZGC:64022,0.8306981060390095
